Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%),Year,Color
1865-07,-0.215248305,-0.52235705,0.18834846,1865,#1371b4
1865-08,-0.211779765,-0.52083653,0.117719084,1865,#1371b4
1865-09,-0.1709304785,-0.39908502,0.35074735,1865,#1371b4
1865-10,-0.26942544,-0.56801635,0.12963854,1865,#1d7ec3
1865-11,-0.337052365,-0.6887684,0.17058153,1865,#2b8dd3
1865-12,-0.460561395,-1.2074953,-0.10307599,1865,#409fe2
1866-01,-0.1320991925,-0.66207504,0.46003166,1866,#0a619f
1866-02,-0.40108877,-1.14986,0.084257066,1866,#409fe2
1866-03,-0.6821522,-1.5474393,-0.18774724,1866,#86c9f9
1866-04,-0.45435012,-1.0515118,-0.015180383,1866,#409fe2
1866-05,-0.57282558,-1.1499503,-0.3579981,1866,#6fbcf3
1866-06,-0.09814961850000001,-0.35942906,0.29075834,1866,#0a619f
1866-07,-0.008290060000000002,-0.24709697,0.4145771,1866,#04538c
1866-08,-0.2494715,-0.49738628,0.13309029,1866,#1d7ec3
1866-09,-0.377752575,-0.6952506,-0.029451624,1866,#2b8dd3
1866-10,-0.420627195,-0.8688382,-0.31736648,1866,#409fe2
1866-11,-0.29829076,-0.6530119,0.10259979,1866,#1d7ec3
1866-12,-0.40035241499999996,-0.8610071,0.19447653,1866,#409fe2
1867-01,-0.40518753500000004,-1.063338,0.061220087,1867,#409fe2
1867-02,-0.3535976,-1.0232794,0.3852126,1867,#2b8dd3
1867-03,-0.681241365,-1.7636662,-0.3798422,1867,#86c9f9
1867-04,-0.42130228,-1.0870613,-0.10574613,1867,#409fe2
1867-05,-0.5748245,-1.2723244,-0.43807295,1867,#6fbcf3
1867-06,-0.350358885,-0.70460373,-0.007024861,1867,#2b8dd3
1867-07,-0.252758175,-0.48281005,0.19306025,1867,#1d7ec3
1867-08,-0.330477145,-0.5370994,0.1941284,1867,#2b8dd3
1867-09,-0.14789358,-0.49269783,0.23590611,1867,#0a619f
1867-10,-0.125255365,-0.4634969,0.19895953,1867,#0a619f
1867-11,-0.195660385,-0.55188894,0.22455066,1867,#1371b4
1867-12,-0.44537255,-0.8845352,0.040734664,1867,#409fe2
1868-01,-0.68487755,-1.4311476,-0.18068597,1868,#86c9f9
1868-02,-0.6932754999999999,-1.733343,-0.27249888,1868,#a2d9ff
1868-03,-0.333875655,-1.2135838,0.18947285,1868,#2b8dd3
1868-04,-0.362994015,-0.73184425,0.16108051,1868,#2b8dd3
1868-05,-0.285536115,-0.6300866,0.16264534,1868,#1d7ec3
1868-06,-0.29688425,-0.37969437,0.24659775,1868,#1d7ec3
1868-07,-0.059621990000000014,0.0064916704,0.63953966,1868,#04538c
1868-08,-0.19327090000000002,-0.44084695,0.19584958,1868,#1371b4
1868-09,-0.34477365000000004,-0.70947325,-0.09313129,1868,#2b8dd3
1868-10,-0.229669055,-0.5037641,0.026783247,1868,#1371b4
1868-11,-0.423180835,-1.0306196,-0.29085153,1868,#409fe2
1868-12,-0.31396635,-0.7199566,0.13038714,1868,#2b8dd3
1869-01,-0.335690975,-0.8342045,0.16781548,1869,#2b8dd3
